ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,"A,t","Y,t","Y0,t","Y1,t",predicted_ite
-0.471672265,-0.659869394,1.766428733,0.973877559,-0.24092149,-0.648284928,1,720,,720.0,-109.5288086
-0.53911224,-0.659869394,0.229278258,0.973877559,-0.24092149,-0.648284928,0,900,900.0,,-81.36352539
-0.106492845,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,1560,1560.0,,-100.231933594
-0.215411832,-0.659869394,1.766428733,-1.026823126,-0.24092149,1.542531618,0,1620,1620.0,,-94.302002
-0.069345416,-0.659869394,1.766428733,-1.026823126,-0.24092149,1.542531618,0,1800,1800.0,,-185.9157715
-1.061380773,-0.659869394,-1.307872216,-1.026823126,-0.24092149,-0.648284928,1,1800,,1800.0,-66.1572266
0.25832826,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,1860,1860.0,,-89.54785156
-0.11980738,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,1,1860,,1860.0,-62.31005859
0.206907575,-0.659869394,1.766428733,-1.026823126,0.193224605,-0.648284928,0,1980,1980.0,,-117.6396484
-1.207478059,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,1980,1980.0,,-112.0859375
-2.118203343,-0.659869394,1.766428733,0.973877559,0.193224605,-0.648284928,0,1980,1980.0,,-83.67431641
-0.262942095,1.065197973,-0.539296979,0.973877559,-0.24092149,-0.648284928,0,1980,1980.0,,-64.0158691
-0.413444795,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,2160,2160.0,,-161.17529297
-0.25404927,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,0,2160,2160.0,,-125.4645996
-0.337472178,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2160,2160.0,,-110.3925781
-0.085916508,-0.659869394,1.766428733,0.973877559,-0.24092149,1.542531618,0,2160,2160.0,,-103.5883789
-0.452169199,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2160,2160.0,,-98.487793
-0.452169199,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2160,2160.0,,-98.487793
1.480217413,-0.659869394,-0.539296979,0.973877559,0.193224605,-0.648284928,1,2160,,2160.0,-90.2666016
-0.143775179,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,1,2160,,2160.0,-79.66699219
0.653430752,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,0,2160,2160.0,,-79.1538086
0.152065286,1.065197973,-0.539296979,0.973877559,-0.24092149,-0.648284928,1,2160,,2160.0,-70.79907227
-1.447151815,-0.659869394,-0.539296979,-1.026823126,-0.24092149,1.542531618,0,2220,2220.0,,-158.829834
-0.051162787,1.065197973,-1.307872216,-1.026823126,-0.24092149,1.542531618,0,2220,2220.0,,-146.2106934
-0.346299266,1.065197973,0.229278258,0.973877559,0.193224605,1.542531618,1,2220,,2220.0,-78.7814941
-0.379527177,-0.659869394,0.229278258,-1.026823126,-0.24092149,1.542531618,0,2220,2220.0,,-56.76416016
