ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,"A,t","Y,t","Y0,t","Y1,t",predicted_ite
0.057229601,-0.659869394,2.535003971,-1.026823126,2.363955083,-0.648284928,1,1800,,1800.0,-88.348877
0.340012544,-0.659869394,2.535003971,-1.026823126,-0.24092149,1.542531618,0,1800,1800.0,,-117.43945313
0.272648984,-0.659869394,2.535003971,-1.026823126,-0.24092149,1.542531618,0,1800,1800.0,,-102.232177734
0.272648984,-0.659869394,2.535003971,-1.026823126,-0.24092149,1.542531618,0,1800,1800.0,,-92.8085938
2.540036612,1.065197973,2.535003971,-1.026823126,-0.24092149,-0.648284928,1,1920,,1920.0,-106.6462402
0.017357732,1.065197973,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,1980,1980.0,,-72.8222656
1.035492887,-0.659869394,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,1980,1980.0,,-54.6706543
0.648404823,-0.659869394,0.229278258,-1.026823126,-0.24092149,1.542531618,0,1980,1980.0,,-59.24072266
1.035492887,-0.659869394,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,1980,1980.0,,-142.5974121
-1.700837114,-0.659869394,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2160,2160.0,,-64.505127
-0.112458841,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2160,2160.0,,-128.0371094
1.060582683,-0.659869394,2.535003971,0.973877559,0.627370701,-0.648284928,0,2160,2160.0,,-74.95947266
0.813611004,1.065197973,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2160,2160.0,,-101.8630371
0.184876951,0.20266429,1.766428733,-1.026823126,-0.24092149,-0.648284928,0,2160,2160.0,,-130.6469727
1.409635928,-0.659869394,2.535003971,-1.026823126,2.363955083,-0.648284928,0,2160,2160.0,,-146.3173828
0.758575198,-0.659869394,2.535003971,-1.026823126,12.34931528,-0.648284928,0,2220,2220.0,,-159.4682617
0.51669448,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,0,2220,2220.0,,-90.3012695
0.435570471,1.065197973,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2220,2220.0,,-67.61865234
0.662065089,-0.659869394,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2220,2220.0,,-80.220703125
0.662065089,-0.659869394,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2220,2220.0,,-220.220703125
0.306833544,-0.659869394,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2220,2220.0,,-122.69262695
2.025459275,1.065197973,-1.307872216,-1.026823126,-0.24092149,-0.648284928,1,2220,,2220.0,-126.65161133
0.60917459,-0.659869394,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2220,2220.0,,-140.19628906
0.403578959,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,0,2220,2220.0,,-129.6992188
2.960821896,-0.659869394,-1.307872216,-1.026823126,0.627370701,-0.648284928,0,2220,2220.0,,-114.8803711
