ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,"A,t","Y,t","Y0,t","Y1,t",predicted_ite
-0.268816345,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,1,1800,,1800.0,-91.62084961
-0.415998252,-0.659869394,-0.539296979,-1.026823126,0.627370701,-0.648284928,0,1860,1860.0,,-85.88720703
0.048626597,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,0,1920,1920.0,,-76.06152344
1.297873138,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,1920,1920.0,,-83.74536133
-1.207478059,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,1980,1980.0,,-147.77783203
-0.039659543,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,1,2040,,2040.0,-93.12792969
-0.374279983,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,1,2040,,2040.0,-74.40942383
0.130029112,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,0,2040,2040.0,,-76.01000977
0.62064151,1.065197973,0.229278258,-1.026823126,-0.24092149,1.542531618,0,2040,2040.0,,-85.66918945
-1.082528933,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2040,2040.0,,-93.16210938
-0.678739001,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,2160,2160.0,,-120.45166016
-1.117689057,1.927731656,-0.539296979,-1.026823126,-0.24092149,-0.648284928,1,2160,,2160.0,-93.21850586
0.250922238,1.065197973,-0.539296979,0.973877559,0.193224605,-0.648284928,1,2160,,2160.0,-93.53393555
1.927909158,-0.659869394,1.766428733,-1.026823126,0.627370701,-0.648284928,1,2160,,2160.0,-94.69091797
0.578565182,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,1,2160,,2160.0,-72.56787109
-0.337472178,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2160,2160.0,,-73.3190918
-1.213942011,-0.659869394,1.766428733,0.973877559,-0.24092149,-0.648284928,0,2160,2160.0,,-75.06518555
0.607821637,0.20266429,1.766428733,-1.026823126,-0.24092149,1.542531618,0,2160,2160.0,,-88.89624023
-1.084550115,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2160,2160.0,,-93.17626953
1.062738259,1.065197973,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2220,2220.0,,-130.43554688
-0.106492845,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,2220,2220.0,,-53.34545898
0.359381044,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2220,2220.0,,-70.47094727
-0.403920481,-0.659869394,0.229278258,0.973877559,-0.24092149,-0.648284928,0,2220,2220.0,,-78.58227539
0.455667454,-0.659869394,0.997853496,-1.026823126,-0.24092149,-0.648284928,0,2220,2220.0,,-88.79150391
-0.340307266,-0.659869394,-0.539296979,-1.026823126,-0.24092149,1.542531618,1,2280,,2280.0,-52.90966797
0.682763084,1.065197973,1.766428733,-1.026823126,-0.24092149,1.542531618,0,2280,2280.0,,-81.91894531
-2.801094774,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2340,2340.0,,-151.65014648
0.185364557,0.20266429,0.229278258,0.973877559,-0.24092149,-0.648284928,0,2340,2340.0,,-82.13989258
-0.317530733,-0.659869394,1.766428733,-1.026823126,-0.24092149,1.542531618,0,2340,2340.0,,-91.36865234
0.097667018,1.065197973,-0.539296979,-1.026823126,0.193224605,1.542531618,0,2400,2400.0,,-138.84887695
0.649734839,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,2400,2400.0,,-97.16992188
1.582046288,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,0,2400,2400.0,,-90.54418945
1.097430811,-0.659869394,1.766428733,0.973877559,0.193224605,-0.648284928,0,2400,2400.0,,-102.6047363
0.399864337,-0.659869394,-0.539296979,0.973877559,-0.24092149,1.542531618,0,2460,2460.0,,-150.4921875
