source_size,type,target_size,mean_ITE,mean_Median_ITE,mean_Std_ITE,mean_PEHE
5000,biased,50,1.134526736461199,1.17126254317088,0.4005606304376553,0.1626040482838043
5000,biased,100,1.154808408143569,1.173611690195239,0.4079585280649516,0.1655745369151373
5000,biased,250,1.194674017429352,1.217825750112534,0.434910434782505,0.1927762981924892
5000,random,50,1.101315212410849,1.123504804598318,0.3816124500857817,0.129101178238388
5000,random,100,1.089249681919179,1.105704343065302,0.4088671535570571,0.140754437443476
5000,random,250,1.067078874707222,1.080365676879883,0.4742479908466339,0.190524411715215
5000,random,500,1.021845287680626,1.025840038657188,0.4885365834832192,0.1778863359726099
1000,biased,50,0.9771190330837712,0.9921055661909508,0.5185908273313985,0.3737927407766919
1000,biased,100,0.9980129928638538,1.003855209176739,0.5927413610431055,0.4733251033778385
1000,biased,250,1.125051975846291,1.132093492150307,0.5753802320361138,0.4511723140737075
1000,random,50,0.9366775832392953,0.9236803108995612,0.5111971727826379,0.3786382930002794
1000,random,100,0.8862799951008388,0.9123316258192062,0.5453944527677127,0.4354456197887677
1000,random,250,0.9052153182029724,0.928954291343689,0.5595187659561635,0.4215196466231949
10000,biased,50,1.033952143711921,1.037042325887925,0.2780309323316965,0.04786378220001825
10000,biased,100,1.069523578942424,1.076705941046127,0.3055555079922532,0.05927566442147914
10000,biased,250,1.161282766461372,1.157975907921791,0.3091083987057209,0.08827128531393229
10000,biased,500,1.291720501184463,1.283081203699112,0.3351456698775291,0.1592401186734316
10000,biased,1000,1.35500975966454,1.492354567050934,0.3475698012113571,0.3490484302395191
10000,random,50,0.9814029580507523,0.9895560726141318,0.2923556894828112,0.04931893515271514
10000,random,100,0.9606454197806541,0.9629012617197904,0.3352124730143884,0.0666697339553861
10000,random,250,0.9720826125144959,0.9772765213251113,0.3450991860032082,0.07325773393870169
10000,random,500,0.9369787466526032,0.9464406365156174,0.3477433860301972,0.07682616235124927
10000,random,1000,0.9307380741834641,0.9374817949533463,0.359669727832079,0.0846940417108478
30000,biased,50,1.073975511538461,1.081671196025641,0.2485707493589744,0.0308814374919066
30000,biased,100,0.9,1.11308755742268,0.2771662695876289,0.03794939381620868
30000,biased,250,1.1932756377,1.2030375454,0.2779636785,0.06755487706948067
30000,biased,500,1.251471896,1.307673196,0.2869100904,0.1255604713253403
30000,random,50,1.038546626901409,1.050150088169014,0.2621905067605634,0.02509287544704313
30000,random,100,1.037709276736842,1.057352971263158,0.2837113329473684,0.02768489630393195
30000,random,250,1.0321206668,1.0503520501,0.323716607,0.03769839388004854
30000,random,500,0.9923087583,1.0069540527,0.3456996165,0.04768328450057688
20000,biased,50,0.8424065445924734,0.8138477825499201,0.3134242406526169,0.08945790500053162
20000,biased,100,0.894955782577245,0.8787443108028836,0.3360573360414216,0.08289029652596382
20000,biased,250,1.18059161543846,0.9781450587511062,0.285336060076952,0.0845435038951095
20000,biased,500,1.118740453720093,1.099016169905663,0.3843257686495781,0.1191001004995971
20000,biased,1000,1.21088865339756,1.296120787858963,0.4206118282675743,0.2361721462299623
20000,random,50,0.7971741452410415,0.788010994324813,0.307372239795891,0.09634705746337174
20000,random,100,0.8255020453757846,0.8101697576414678,0.3610261873793356,0.1118577168052996
20000,random,250,1.02817786395549,0.8297530055046082,0.324931597262621,0.05655145621861
20000,random,500,0.8518728131055832,0.8331070989370346,0.4111459854245186,0.1267759456828765
20000,random,1000,0.8599546480178833,0.8403408002853393,0.4403242617845535,0.1500812163346444
