ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,collect_fw,piped_water,math_ok,study_min_wk
11.118118358049584,1,3,0,1,0,0,1,0,2520
11.194935376352896,1,5,0,1,0,0,1,0,1260
11.68940499028055,1,5,0,1,0,1,1,0,2580
11.68940499028055,1,5,0,1,0,1,1,0,2580
10.778977123006351,1,5,0,1,1,0,0,0,1800
10.778977123006351,1,5,0,1,1,0,0,0,1800
10.491301994830229,1,5,0,1,0,0,1,0,2520
10.668978650219241,1,5,0,1,0,0,1,0,2520
10.668978650219241,1,5,0,1,0,0,1,0,2520
11.391333936201985,1,3,1,1,0,0,1,1,2520
11.391333936201985,1,3,1,1,0,0,1,1,2340
11.477308649967686,1,3,1,1,0,0,1,0,1920
11.277215789596893,1,2,0,1,0,0,1,0,3060
11.277215789596893,1,2,0,1,0,0,1,0,3060
10.722738609891799,1,2,1,1,0,1,1,1,2520
11.937872887642017,1,3,1,1,0,0,1,1,2520
13.236229418309948,1,2,0,1,0,1,0,1,2520
10.43385106267516,1,3,0,1,0,0,1,0,3900
11.047726275896391,1,2,1,1,0,0,1,1,2520
11.426288563310505,1,3,0,1,1,0,1,0,2160
12.7641186305409,5,2,0,1,0,0,0,0,2520
11.785399986572829,1,2,1,1,0,0,1,1,2580
10.499256165652112,5,1,0,1,0,1,1,1,2580
10.499256165652112,5,1,0,1,0,1,1,1,2580
11.184435286790631,1,1,0,4,0,0,1,1,2580
10.445840912706414,1,2,0,1,0,0,1,0,2160
11.369989992270412,1,2,0,1,0,0,1,0,2580
11.770671388994348,1,5,0,1,0,0,1,0,2520
11.35675107214979,1,5,0,1,0,0,1,0,3420
12.163170363711957,3,2,1,1,1,0,1,1,2820
11.316922746420394,1,5,1,1,0,0,1,1,2520
11.361532645414634,1,5,1,1,0,1,1,0,2520
10.885584751364705,5,1,0,2,0,1,1,1,2160
11.103768550523514,1,3,1,1,0,0,1,0,2160
11.382258537274573,1,3,1,1,0,0,1,0,3240
11.128747176317603,1,1,0,1,0,0,1,1,2580
11.921725007667265,1,3,1,3,0,0,1,1,2580
11.991027463722105,1,3,0,7,0,0,1,1,2520
11.991027463722105,1,3,0,1,0,0,1,1,1920
10.413342705547674,1,3,0,1,0,0,1,0,2160
10.413342705547674,1,3,0,1,0,0,1,0,2160
11.002116507732017,4,1,0,3,0,0,1,1,1500
10.173552856959743,1,3,0,1,0,0,1,0,2520
10.5815464756746,1,2,1,2,0,0,1,1,3240
10.5815464756746,1,2,1,1,0,0,1,1,2160
11.556760515674256,1,1,1,1,0,1,1,1,2640
11.556760515674256,1,1,1,1,0,1,1,1,2520
11.897854476859635,1,1,0,1,0,1,1,1,2580
10.920546270529568,2,1,1,1,0,0,1,1,2520
11.892737666219704,3,1,0,10,0,1,1,1,2280
11.054866216741466,3,1,0,8,0,0,0,0,2520
11.012479122949106,2,2,1,2,0,0,1,0,2520
11.258562107711272,1,2,0,1,0,1,1,1,2340
12.53222755539203,3,5,0,1,0,1,1,1,2340
12.53222755539203,3,5,0,1,0,1,1,0,2280
8.128880142125638,1,5,0,1,0,0,1,0,2340
10.824188544898831,2,5,0,5,0,0,1,1,2520
10.824188544898831,2,5,0,3,0,0,1,0,2340
10.824188544898831,2,5,0,3,0,0,1,0,2340
11.223922520551032,1,5,0,3,0,1,1,0,2580
11.233885937899789,1,5,0,3,0,0,1,1,2580
10.819798284210286,1,5,0,1,0,0,1,0,2520
10.33854382482173,1,5,0,1,0,0,1,1,2340
10.662913925885341,1,5,1,1,0,1,1,0,2280
11.004779580825998,2,3,1,1,0,0,1,0,2340
10.992907722835323,1,3,1,1,0,1,1,1,2580
10.295563423525277,1,5,0,1,1,0,1,0,2220
10.480129006333248,1,5,0,1,0,0,1,0,2520
10.985309671896763,1,5,0,1,1,0,1,1,2580
11.205054290550551,1,5,0,1,0,0,1,0,2580
11.410682307520547,1,5,1,1,0,1,1,0,2280
11.017989594425455,2,5,0,1,0,0,1,0,2520
11.017989594425455,2,5,0,1,0,0,1,1,2520
11.205054290550551,1,5,0,1,0,0,1,1,2580
10.664316745782925,1,5,0,1,1,0,1,0,2580
11.289794413577894,1,5,1,1,0,0,1,0,2160
11.225256725762893,1,5,0,1,0,0,1,0,2160
11.404237196256764,1,5,0,1,0,0,1,0,2580
11.142745451001325,3,1,0,2,0,0,1,0,2400
11.142745451001325,3,1,0,2,0,0,1,0,2280
11.451167075682282,4,1,0,4,0,0,1,1,2160
11.023388292222021,1,1,0,2,0,0,1,1,2580
12.25191083786729,2,5,0,2,0,0,1,1,2520
12.25191083786729,2,5,0,2,0,0,1,0,2520
9.621787551761894,3,1,0,2,0,0,1,0,2280
11.19524456014451,5,2,1,3,0,1,1,1,3060
10.654337443224362,1,2,0,1,0,1,1,1,2520
11.261909563554315,1,2,0,1,0,0,1,1,2160
9.67852985665631,1,3,1,1,0,1,1,0,2340
11.735836989368275,4,2,1,2,0,1,1,1,2520
10.442900633154032,4,2,0,4,0,1,1,1,3240
11.175716957368046,3,2,0,4,0,1,1,0,2460
10.307985526454086,1,5,1,1,0,0,1,0,2580
11.338226780121822,5,5,1,1,0,0,1,1,1440
10.422311107413181,1,5,1,1,0,1,1,0,720
10.422311107413181,1,5,1,1,0,1,1,0,720
10.484053768176494,1,5,0,1,0,0,1,0,2520
11.328413511006964,1,5,0,1,0,0,1,0,2280
10.757924157061597,1,5,0,3,0,1,1,0,2460
10.757924157061597,1,5,0,3,0,1,1,0,2400
12.994645908268414,3,5,0,1,0,1,1,1,2580
12.075400019877522,1,5,0,2,0,1,1,0,2400
12.075400019877522,1,5,0,2,0,1,1,0,2340
11.813333715015636,1,5,1,2,0,0,1,0,2400
12.20116562577717,1,5,1,3,0,1,1,0,2880
12.20116562577717,1,5,1,2,0,1,1,0,2160
12.630951416408735,1,5,0,1,0,1,1,0,2520
12.630951416408735,1,5,0,1,0,1,1,0,2340
12.549559507752743,1,5,0,3,0,1,1,0,2160
12.549559507752743,1,5,0,3,0,1,1,0,2160
11.097425172408931,1,5,0,1,0,1,1,0,2160
12.988719978507337,5,5,0,1,0,0,1,0,2520
10.60214452626967,1,5,0,1,0,1,1,0,1800
10.60214452626967,1,5,0,1,0,1,1,0,2220
9.829410349139811,1,5,1,1,0,0,1,1,2220
9.829410349139811,1,5,1,1,0,0,1,0,2220
10.978677671259746,1,5,1,1,0,1,1,0,2160
10.978677671259746,1,5,1,1,0,1,1,0,2160
10.80529389020931,1,5,0,1,0,1,1,0,2040
11.248972939884327,3,5,1,1,0,1,1,0,2340
11.670877481980172,1,5,0,1,0,1,1,0,2160
11.670877481980172,1,5,0,1,0,1,1,0,2160
10.14843173380919,1,5,0,1,0,1,1,0,2580
10.14843173380919,1,5,0,1,0,1,1,0,1080
11.41322666926311,3,5,0,2,0,0,1,1,2160
11.023877640745798,1,5,0,2,0,0,1,0,1980
11.325402403776808,1,5,0,1,0,0,1,0,2580
11.445727410406752,3,5,0,1,1,0,1,0,2280
11.445727410406752,3,5,0,1,1,0,1,0,2280
11.468252314258486,4,5,0,2,0,1,1,0,2400
11.468252314258486,4,5,0,2,0,1,1,0,2400
10.564137367503298,1,3,1,1,0,0,1,0,2580
10.764286715905591,1,5,1,1,1,0,1,0,2160
10.764286715905591,1,5,1,1,1,0,1,0,2160
10.156228740289281,2,5,1,1,0,0,1,1,2580
10.156228740289281,2,5,1,1,0,0,1,0,2580
10.848968086540825,1,5,1,1,1,0,1,0,2160
10.848968086540825,1,5,1,1,1,0,1,0,2160
9.76428295481558,1,5,1,1,0,0,1,1,2160
9.76428295481558,1,5,1,1,0,0,1,0,2160
11.0674349200055,1,5,0,2,0,0,1,0,2520
11.0674349200055,1,5,0,2,0,0,1,0,2520
11.094314325192048,1,5,0,2,0,1,1,0,1080
9.662752677191515,1,3,1,1,0,0,1,0,2520
9.268703615273097,1,5,1,1,0,1,1,0,1980
9.268703615273097,1,5,1,1,0,1,1,0,1980
12.631997028039708,2,5,0,1,0,0,1,0,2160
11.088969194220052,1,2,0,1,0,1,1,0,480
10.54641980443157,1,2,1,1,1,1,1,0,2580
10.972001393380205,1,2,0,8,0,0,1,0,660
10.71299453421227,1,2,1,1,0,1,1,0,2160
9.595670797663967,1,3,0,1,0,1,1,0,2100
11.461642696843066,1,5,0,4,0,0,1,0,2520
11.254685683118405,3,5,0,1,0,0,1,0,2400
10.526775414924009,1,5,0,2,0,0,1,0,2400
12.636347432546913,1,5,0,5,0,0,1,0,2580
12.15517927116395,3,5,0,5,0,0,1,0,2160
11.983872399163923,1,5,0,12,0,0,1,1,2520
11.983872399163923,1,5,0,12,0,0,1,0,2520
12.570510877020068,1,2,1,2,0,1,1,0,2160
12.570510877020068,1,2,1,2,0,1,1,1,2160
11.13861012585428,1,2,1,2,0,1,1,0,2640
11.198365393710201,3,1,0,1,0,0,1,1,2580
11.31740924014814,1,1,0,4,0,1,1,1,2100
12.21263605913015,4,1,0,5,0,0,1,1,2580
11.984808576881369,3,1,0,1,0,1,1,1,2280
11.984808576881369,3,1,0,1,0,1,1,1,2280
11.253104962395378,1,1,0,1,0,0,1,0,2160
11.3910515731603,3,3,1,1,0,0,1,1,2760
13.168447025117315,5,1,0,4,0,1,1,1,2940
13.168447025117315,5,1,0,4,0,1,1,1,2940
10.458492727913868,1,3,1,1,0,0,1,0,2280
10.458492727913868,1,3,1,1,0,0,1,0,2280
10.583068121374101,2,3,1,1,1,1,1,1,2580
10.530788690858559,1,3,1,1,0,1,1,0,2340
10.530788690858559,1,3,1,1,0,1,1,0,2460
8.833608482690892,3,3,0,1,0,0,1,0,2400
10.725049935309642,1,2,0,1,0,1,1,1,2580
11.369759234576504,3,2,0,1,0,1,1,0,2580
12.392162094893047,1,2,1,1,0,1,1,0,2580
10.684325046223062,1,2,0,8,0,1,1,1,2580
9.980494888896912,3,2,0,1,0,0,1,1,2460
10.5200506209133,1,2,1,1,1,1,1,0,2460
10.5200506209133,1,2,1,1,1,1,1,0,2340
9.806480934593978,3,2,0,8,0,1,1,1,2520
9.806480934593978,3,2,0,8,0,1,1,0,2520
12.22847483221856,1,3,0,8,0,1,1,1,2520
12.358583410002417,3,1,0,1,0,0,1,0,2460
10.49684202174171,1,5,0,1,0,0,1,0,2220
11.9391796417858,1,2,0,3,0,1,1,1,3000
12.298018080013533,3,2,0,1,0,1,1,1,2160
12.859623642456619,4,2,0,1,0,0,1,1,3000
12.859623642456619,4,2,0,1,0,0,1,1,3000
8.366602832783736,1,3,1,1,0,1,1,0,2040
10.622814044879377,1,3,1,1,0,1,1,0,2220
11.40679798860655,3,3,0,1,1,0,1,0,2460
11.40679798860655,3,3,0,1,1,0,1,0,2460
11.348062614163295,1,3,1,1,1,0,1,0,2160
10.69287629720916,1,3,1,1,0,1,1,0,2520
11.86541867764562,1,3,0,3,0,0,1,0,2400
10.778977123006351,1,5,1,1,0,0,1,0,2220
11.214667666146262,1,5,0,1,0,1,1,0,2580
10.944664918551014,1,3,1,1,1,1,1,0,2580
10.944664918551014,1,3,1,1,1,1,1,0,2580
11.607153241005074,1,3,0,1,0,0,1,0,2040
10.718210566991154,1,2,0,1,1,1,1,0,2520
10.718210566991154,1,2,0,1,1,1,1,0,2520
11.264553845234758,1,2,0,1,0,1,1,0,2160
10.694237736914808,3,2,0,8,0,0,1,1,2160
10.694237736914808,3,2,0,1,0,0,1,0,2160
10.903218291644121,3,1,0,1,0,0,1,0,2160
10.903218291644121,3,1,0,1,0,0,1,1,2520
10.729875458480967,1,1,0,1,0,0,1,1,2160
10.130662964963708,3,3,0,1,0,0,1,0,2220
9.729193687429403,1,3,0,1,0,0,1,0,2520
10.941659577392821,4,1,0,1,0,0,1,1,2520
10.941659577392821,4,1,0,1,0,0,1,1,2400
11.06665398721974,2,1,0,1,0,0,1,0,2520
10.753232416566384,1,3,0,1,0,0,1,0,1800
11.814702731794554,1,2,0,1,0,0,1,1,2640
11.814702731794554,1,2,0,1,0,0,1,0,2640
11.260623406285792,1,2,0,5,0,0,1,1,2520
11.260623406285792,1,2,0,5,0,0,1,0,2340
11.72885102917796,1,2,0,1,0,0,1,0,2160
11.72885102917796,1,2,0,1,0,0,1,0,2160
11.285284314603569,3,2,0,1,0,0,1,0,2160
12.081421704711587,1,2,0,1,0,0,1,0,540
13.860742972268977,5,2,0,1,0,0,1,1,2220
11.831022768939789,3,2,0,1,0,1,1,1,1860
11.831022768939789,3,2,0,1,0,1,1,1,1860
12.260802278936026,1,1,0,1,0,0,1,1,2160
10.21008950984042,1,3,0,1,0,0,1,0,2580
10.541280572963995,1,3,0,1,0,0,1,0,2400
10.541280572963995,1,3,0,1,0,0,1,0,2160
10.602765899026313,1,3,0,3,0,0,1,0,2520
11.85687680608952,1,3,0,1,0,1,1,0,2160
13.065583480153231,3,3,0,1,0,1,1,1,3420
11.932760167490123,1,3,0,1,0,1,1,0,1980
11.874445651738808,3,3,0,1,1,1,1,1,2160
11.874445651738808,3,3,0,1,1,1,1,0,2520
11.874445651738808,3,3,0,1,1,1,1,0,2520
11.936368006309046,1,3,0,1,0,1,1,0,2160
11.095301739538133,1,2,1,1,0,0,1,0,2400
11.24381650610239,3,1,0,3,0,1,1,1,2160
