ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,collect_fw,study_min_wk,math_ok
10.560515206289688,1,2,1,2,1,1,2880,0
11.022931350784171,1,2,0,1,1,0,2580,0
11.48082573731012,5,2,0,1,0,0,2880,1
12.573423894362902,3,2,0,1,0,1,3480,0
10.090838109351523,3,3,1,1,1,0,3000,0
11.046770420412676,3,4,1,1,1,0,2580,1
11.35675107214979,1,5,0,1,0,0,3420,0
9.937937287265354,1,5,1,1,0,0,2520,0
11.017989594425456,2,5,0,1,0,0,2520,0
12.632094998100136,5,2,0,1,0,0,2880,1
11.013715451376466,1,2,0,1,0,1,2880,1
11.476271853988816,1,5,0,1,1,0,2520,0
11.566286120892515,3,1,1,1,0,1,2340,0
9.278092474027002,5,1,0,1,0,0,2580,1
10.825283105044727,5,1,0,1,1,0,2520,0
11.784180855205214,4,2,0,3,0,1,1740,1
11.017004873924424,1,2,1,1,0,0,2580,0
9.872822138225242,1,5,1,1,0,0,2520,0
12.599866576311172,1,3,0,2,0,0,2580,1
6.878326468291325,3,2,0,2,1,1,2580,1
10.288783966353764,1,3,0,1,0,0,2580,0
9.822873848541882,1,5,1,1,1,0,2160,0
10.601149526063208,3,4,1,1,0,0,1980,0
9.96274653641105,1,5,1,1,0,0,2580,1
10.902297921958713,3,2,1,1,0,0,2880,1
11.921725007667265,1,3,1,3,0,0,2580,1
11.184435286790633,1,1,0,4,0,0,2580,1
11.525752841275017,3,2,0,1,0,1,2580,0
12.13197390410308,1,3,1,1,1,0,3000,0
11.005444242454628,1,2,1,1,1,1,3000,1
11.349594441107186,1,2,1,1,0,0,2220,1
10.907807476583594,3,1,1,1,0,0,2580,1
10.292179440058462,1,5,0,1,0,0,2160,1
10.881080323786447,4,1,0,1,0,0,1860,0
8.870803443982124,3,3,1,1,1,0,2880,0
9.90802723257816,1,2,1,1,0,1,1800,0
10.186445986151496,1,3,0,1,1,0,2940,0
10.718210566991154,1,2,0,1,1,1,2520,0
9.415808631610384,1,5,1,1,0,0,1800,0
10.49449125942737,2,2,0,1,0,1,2220,1
10.22560728293294,1,5,1,1,1,0,2160,0
11.02338829222202,1,1,0,2,0,0,2580,1
11.180259973491848,1,2,1,1,1,1,2880,0
11.55838628349022,3,1,0,3,0,0,2820,1
10.541280572963997,1,3,0,1,0,0,2400,0
10.475624621025222,1,2,0,3,0,1,2160,0
9.646076003102594,1,3,1,1,1,0,2400,0
11.86506714919632,3,1,0,2,0,0,3000,1
11.298877919281251,3,1,1,1,0,1,3000,0
11.002949480158817,2,5,0,1,1,1,2340,0
10.8623778980291,1,1,1,1,0,1,2520,1
9.981882749963502,1,2,1,1,0,0,2580,0
11.2922912626048,3,1,0,1,0,1,2640,0
12.25191083786729,2,5,0,2,0,0,2520,0
8.128880142125638,1,5,0,1,0,0,2340,0
10.525434069084952,1,2,1,1,1,1,2160,0
12.636347432546913,1,5,0,5,0,0,2580,0
10.499600568082863,1,1,0,1,0,0,2580,1
9.968853855967382,1,3,1,1,1,1,1380,0
11.054866216741466,3,1,0,8,0,0,2520,0
10.725643413659608,2,2,1,1,0,0,420,0
9.531626451841742,1,2,1,1,0,0,2640,0
11.485564545613576,4,1,0,1,0,0,2160,1
11.189837261254487,3,2,0,3,0,1,2520,1
11.404237196256764,1,5,0,1,0,0,2580,0
9.370842268630213,1,5,1,1,0,0,2160,0
11.150534214035387,1,3,0,2,0,0,2520,0
12.323860125621126,5,1,0,1,0,0,2520,1
9.595670797663969,1,3,0,1,0,1,2100,0
11.289794413577894,1,5,1,1,0,0,2160,0
10.742054552499477,1,2,1,1,0,1,2580,1
10.362525022649812,1,3,1,1,0,0,900,0
9.268703615273097,1,5,1,1,0,1,1980,0
12.7641186305409,5,2,0,1,0,0,2520,0
10.231027154561334,1,2,1,2,0,0,2580,0
8.343077871169383,1,6,0,1,0,1,2160,1
10.458492727913868,1,3,1,1,0,0,2280,0
10.43590831373871,1,5,1,1,0,0,2400,0
12.399791505609556,1,5,0,1,1,0,1200,0
9.460398455831276,2,3,0,1,1,0,2400,0
10.74507628970625,1,2,1,1,1,1,2160,0
12.630951416408736,1,5,0,1,0,1,2520,0
10.563620718477312,1,5,1,1,0,0,2940,0
11.617744834234752,1,2,0,1,0,1,2220,0
11.448184256626329,3,2,0,1,1,0,2760,0
12.988719978507335,5,5,0,1,0,0,2520,0
9.794007451917308,1,2,1,1,1,0,0,0
11.333332183047432,1,2,1,1,0,1,2520,0
11.253104962395378,1,1,0,1,0,0,2160,0
10.206218323189429,1,2,1,1,1,1,2580,0
11.81303746480054,3,1,0,1,0,0,2880,1
11.0694624957204,1,3,0,1,0,0,1860,0
8.674367865788236,1,2,1,1,0,0,2520,0
9.147507062804614,1,2,1,1,1,0,2880,0
12.994645908268414,3,5,0,1,0,1,2580,1
10.691058156211511,1,2,0,1,1,1,2160,0
11.391333936201985,1,3,1,1,0,0,2520,1
10.34048362692364,1,3,1,1,0,0,2160,0
10.854295646435844,4,1,0,1,0,1,2220,1
10.382853468483829,1,3,0,1,0,0,2340,1
11.784180855205214,4,2,0,3,0,1,1740,0
11.831022768939787,3,2,0,1,0,1,1860,1
10.133646438744243,1,2,0,1,1,1,2220,0
9.760252084449377,1,3,1,1,0,0,2520,0
12.044764747144,1,2,1,2,0,1,2400,1
10.608588007213532,1,2,0,1,1,0,2400,0
10.684325046223062,1,2,0,8,0,1,2580,1
10.809344036488136,3,5,1,1,0,0,2640,0
10.50783084142058,1,5,1,1,0,1,2580,1
11.293537353157436,3,5,0,1,0,0,2760,0
9.975854724662028,3,1,1,1,0,1,1440,1
9.632400353656184,5,3,0,3,0,0,2580,1
10.06628644284122,1,3,1,8,1,1,3600,0
9.746892220313054,3,2,0,4,1,1,180,1
11.707677772181546,1,3,0,2,0,0,2220,1
11.260623406285792,1,2,0,5,0,0,2340,0
10.465272414899246,1,2,1,1,0,0,2160,0
10.764286715905593,1,5,1,1,1,0,2160,0
11.192733974822708,3,5,0,1,0,0,2220,0
11.237185138527495,5,2,1,2,0,0,1500,1
11.047726275896393,1,2,1,1,0,0,2520,1
11.820417517632333,1,2,1,3,0,1,2280,0
10.65492722584759,1,3,0,1,0,0,1860,1
9.669409436169138,1,3,1,2,0,0,2520,0
10.788308256940796,1,5,0,3,1,0,3000,0
10.984292222554274,1,5,0,1,0,0,2580,0
9.503084610020228,1,3,1,2,0,1,2520,0
10.186445986151496,1,3,0,1,1,0,1680,0
10.503724171902723,1,3,1,1,1,1,2760,0
10.970110253663124,1,2,1,1,1,0,2100,0
10.970626373827352,3,5,0,1,0,0,2580,0
12.755941082010716,3,5,0,1,0,0,2760,1
9.829625703937673,1,3,0,1,1,1,2160,0
8.366602832783736,1,3,1,1,0,1,2040,0
11.431726255472851,2,2,1,1,1,1,2580,0
10.42231110741318,1,5,1,1,0,1,720,0
11.14924029241027,1,2,1,1,0,0,2220,1
11.669168240552514,3,1,0,1,0,1,2520,1
10.33724852979914,3,1,0,1,0,1,2520,1
11.054154512337606,2,5,1,1,0,1,2580,0
11.095605363289916,1,2,1,1,1,0,3600,1
11.835450895458816,3,1,0,1,0,0,2520,1
11.177047052000846,1,2,1,1,1,0,2400,0
10.63106031411106,1,4,0,1,1,0,0,0
9.864798697921016,1,2,1,1,1,1,1980,0
10.072217155810616,1,3,0,1,1,0,2520,0
9.885883506587769,2,5,1,1,0,0,2580,0
12.349787633878709,5,5,0,1,0,0,2760,1
10.6204977333606,1,3,1,1,1,0,2400,0
10.584966928228392,1,2,1,1,0,1,1860,0
10.819798284210286,1,5,0,1,0,0,2520,0
10.64889505975716,1,2,1,1,0,0,3000,0
11.19973411321324,1,3,1,1,0,0,2580,1
11.43605521971203,1,2,0,1,1,0,3000,0
10.33854382482173,1,5,0,1,0,0,2340,1
10.832714252818556,1,3,1,1,1,0,2640,0
12.579706471268628,1,5,0,1,0,0,2520,1
10.650554575085504,3,2,1,1,0,1,2520,0
11.244405291716395,1,4,0,1,0,0,2220,0
9.549736900114642,1,2,0,1,0,1,2940,0
9.669093450449065,1,2,1,1,0,0,2520,0
11.82256225906572,1,1,0,1,1,1,3000,1
12.04252966245671,1,2,0,1,0,0,2520,1
11.095301739538131,1,2,1,1,0,0,2400,0
11.486797072140536,1,3,0,1,0,0,2520,1
10.37850981733684,3,2,1,1,0,1,2520,1
10.87882047837734,1,2,1,1,0,0,1560,0
10.506463824584774,1,3,1,1,0,0,4320,0
12.289498853474674,5,1,0,3,0,1,3000,1
10.2527702409553,1,2,1,1,0,1,2520,1
12.037659911047468,1,1,0,1,1,1,3000,0
10.11135501629782,5,2,1,1,0,0,3360,0
12.53222755539203,3,5,0,1,0,1,2280,0
10.196194479235656,1,3,1,1,0,0,2640,0
10.725643413659608,2,2,1,1,0,0,2520,0
11.184435286790633,2,2,0,1,1,1,2880,0
11.017004873924424,3,2,0,2,0,1,2220,0
11.37929120991269,2,5,0,1,1,0,2160,0
10.413342705547674,1,3,0,1,0,0,2160,0
11.320929259319332,1,1,1,1,0,0,2520,0
10.742486788680049,1,2,0,1,0,1,2340,0
9.630102784785173,1,5,0,1,0,0,2160,0
10.133646438744243,1,2,0,1,1,1,2220,0
11.13861012585428,1,2,1,2,0,1,2640,0
10.36356710058417,1,3,1,1,1,0,2160,0
9.163353580751846,3,1,0,1,0,1,1980,1
10.67014073838981,1,2,1,1,0,0,2520,0
11.892737666219704,3,1,0,10,0,1,2280,1
11.03973275601109,1,2,0,4,0,0,2580,0
11.31740924014814,1,1,0,4,0,1,2100,1
10.34980665465256,1,2,0,1,0,0,2580,1
10.45682653965135,1,2,1,1,1,0,2340,0
12.579706471268628,1,5,0,1,0,0,2520,0
11.07907631432006,3,1,0,1,0,1,2580,1
11.722383799419628,3,2,0,1,0,0,2220,0
10.978677671259746,1,5,1,1,0,1,2160,0
10.604131561522696,1,5,1,1,0,0,2160,0
10.747229096720554,1,2,1,1,0,0,2040,0
11.360834329491423,1,2,0,2,0,1,2580,1
8.46611040118692,1,2,1,1,0,1,2580,0
11.82256225906572,1,1,0,1,1,1,2580,0
10.738589920723442,1,2,1,1,1,0,2160,0
10.287081896226075,1,2,0,1,0,0,2580,0
10.757094043032891,1,2,0,1,0,0,2280,0
10.649488059999875,1,5,0,1,1,0,1620,0
11.8721441708016,1,2,0,1,1,1,2760,1
11.861142743476268,1,2,1,2,1,1,2520,1
11.084309430262897,1,1,1,1,0,1,3000,1
10.433556823868823,3,3,1,1,0,0,2160,0
