source_size,type,target_size,mean_ITE,mean_Median_ITE,mean_Std_ITE,mean_PEHE
5000,biased,50,1.950301422830263,1.92389011489074,0.8611077495704931,2.111551869425259
5000,biased,100,1.863997532987564,1.852278505424386,0.5586559843457833,1.143236593391361
5000,biased,250,1.914711120750017,1.916448281420276,0.3837994841304077,0.9854954097807526
5000,biased,500,1.89721220063957,1.902049404211285,0.2936028845192177,0.8821417404646286
5000,random,50,0.9672840588178596,0.9490158070446794,0.9283326121987795,1.260728484351438
5000,random,100,1.052594460350224,1.041719949282941,0.5869065692515474,0.435245001406721
5000,random,250,1.026715060766451,1.023186351833163,0.4150387248875914,0.1606829390620457
5000,random,500,1.043283435213758,1.047171512566676,0.3198392115562324,0.07941903101438015
1000,biased,50,2.018348489694452,1.99118949005762,0.8454386251606477,2.12301722422087
1000,biased,100,1.915120488822747,1.922526217081294,0.5378461606672061,1.201421088048319
1000,biased,250,1.934555105760227,1.928256817161904,0.3792292262610629,1.037156345247893
1000,random,50,1.171296221619248,1.208016654505206,0.9636410041928567,1.374733562722053
1000,random,100,1.040837404753937,1.029895071087706,0.6087479807833888,0.4720885794439175
1000,random,250,1.060061546865921,1.05708373126955,0.3999865928869111,0.1726731658919256
10000,biased,50,1.913139439653553,1.916535726034415,0.921019694704397,2.044482338073793
10000,biased,100,1.835733903556259,1.8442752714519,0.6023857531722727,1.129354197580086
10000,biased,250,1.825273402942799,1.823825544144285,0.3769356431195071,0.8192490108470954
10000,biased,500,1.835372513036759,1.834895256965552,0.2936724714728498,0.7539902873240641
10000,biased,1000,1.845039022986799,1.843925018962768,0.2908715344830583,0.7551938603272714
10000,biased,1500,1.836025709512147,1.834661273005889,0.2594849296994625,0.7226810641898889
10000,random,50,1.009657172872458,1.002704040747894,0.9394039791196653,1.266293669611929
10000,random,100,1.018470413015596,1.016426701747241,0.6180871088403934,0.4797232399737618
10000,random,250,1.005320791214371,1.004758865050008,0.3917314017826047,0.1524086166986135
10000,random,500,0.9883115599598855,0.9890895690485291,0.3228984985876058,0.07542092503865695
10000,random,1000,0.9950039273407858,0.9958855919240054,0.255043134550608,0.03393163202455154
10000,random,1500,1.00296996414704,1.003080411010279,0.2507612508378995,0.02532812600500422
20000,biased,500,1.816441479109448,1.81788777174881,0.2642182967451786,0.7272124423277601
20000,biased,1000,1.817065979906332,1.81653352720704,0.2377452443842322,0.6999938909585643
20000,biased,1500,1.816627546777209,1.816358689281395,0.2190261556169867,0.6921493410781921
20000,biased,50,1.845292504097089,1.82738963661532,0.9102018063468781,1.873369973363959
20000,biased,100,1.800267397626548,1.810422258187298,0.5857271474978664,1.064547472065737
20000,biased,250,1.814117157076284,1.81688481762041,0.3624462393029881,0.805212410806624
20000,biased,2000,1.815811624985003,1.815058892059491,0.2124766925847305,0.6863271871818797
20000,biased,3000,1.814095933746654,1.815428004781241,0.2006812251568197,0.6763648448801104
20000,random,500,0.9910393342996563,0.991132901765288,0.3011801616308637,0.0697579837390889
20000,random,1000,0.9934952026266636,0.9938574550555722,0.2561235556994247,0.03356893342821923
20000,random,1500,0.9923775392289763,0.9916931415583213,0.2308077585882014,0.02380219625556739
20000,random,50,1.052088912403161,1.028595633058778,0.8894306631706115,1.174081622183667
20000,random,100,0.9741818557017123,0.9689758032040563,0.5942749148239415,0.4484637322217277
20000,random,250,0.9999398297681172,0.9995369355573743,0.3800303536094113,0.1455543002951068
20000,random,2000,0.9971247877961303,0.9975172538436416,0.2194366351709163,0.01725658364389477
20000,random,3000,0.9930833485918055,0.9932831443185269,0.2129771908184735,0.01201510437878226
30000,random,50,1.019687777823067,1.002626439893525,0.8742236073160694,1.09892713735019
30000,random,100,1.039233403743697,1.035553642721212,0.6034205437530327,0.4610140995984741
30000,random,250,1.013052001800663,1.011265709584894,0.3655010507459462,0.1404216260538142
30000,random,500,1.002672599652581,1.003181658581468,0.3073960972767071,0.07559479353835281
30000,biased,50,1.825345890461389,1.84149434396213,0.8611788827949145,1.758675508832287
30000,biased,100,1.851084124381635,1.851945582738421,0.5663599394252085,1.153919603906711
30000,biased,250,1.845310035498819,1.84674825761477,0.3706971557002338,0.8476321606982367
30000,biased,500,1.842048213358655,1.843673337314658,0.2943128279852987,0.7745967116344128
