ln_income;mother_edu;caste_religion_group;elec;dist_school_km;poor;A/t;Y/t;predicted_ite
0,153239849;-0,67090392;-0,487736232;0,94982836;-0,336346989;1,537980694;1;2520;-28,70141602
0,305890493;-0,67090392;-0,487736232;0,94982836;-0,336346989;1,537980694;1;2880;-29,20605469
0,107523777;-0,67090392;-0,487736232;0,94982836;-0,336346989;-0,65020322;0;2580;-28,49047852
-0,458853116;-0,67090392;1,036439493;0,94982836;1,614837202;1,537980694;0;2520;-30,52807617
1,787709225;-0,67090392;1,798527356;-1,052821796;-0,336346989;1,537980694;0;1200;-30,56933594
1,34769323;-0,67090392;-1,249824095;-1,052821796;-0,336346989;1,537980694;1;3000;-32,39575195
1,865971439;2,65982476;-1,249824095;-1,052821796;-0,336346989;1,537980694;1;2160;-35,88818359
0,343598108;0,99446042;-0,487736232;0,94982836;-0,336346989;-0,65020322;1;2640;-29,64160156
-0,249897067;-0,67090392;0,274351631;0,94982836;-0,336346989;1,537980694;0;2760;-27,4699707
-0,073045497;-0,67090392;1,798527356;0,94982836;-0,336346989;-0,65020322;0;2520;-26,20654297
-1,273069276;-0,67090392;0,274351631;0,94982836;-0,336346989;1,537980694;0;2520;-28,35253906
0,471945614;-0,67090392;1,798527356;0,94982836;-0,336346989;-0,65020322;0;2520;-28,80371094
0,212947899;-0,67090392;0,274351631;0,94982836;-0,336346989;-0,65020322;0;2160;-26,56652832
-0,162111294;0,99446042;-1,249824095;-1,052821796;-0,336346989;1,537980694;0;2220;-28,30273438
0,705611139;-0,67090392;-0,487736232;0,94982836;0,964442471;-0,65020322;1;3600;-30,30517578
-1,530285779;-0,67090392;-0,487736232;0,94982836;-0,336346989;-0,65020322;0;2520;-29,79956055
-0,237907704;-0,67090392;0,274351631;-1,052821796;-0,336346989;1,537980694;0;1920;-27,42285156
1,726950916;2,65982476;1,798527356;-1,052821796;-0,336346989;-0,65020322;0;2760;-34,22265625
1,068444046;0,99446042;-0,487736232;0,94982836;1,614837202;1,537980694;0;3000;-34,42260742
-0,862917957;-0,67090392;0,274351631;-1,052821796;-0,336346989;-0,65020322;1;2280;-30,84765625
-0,083787307;0,16177825;-0,487736232;0,94982836;-0,336346989;-0,65020322;0;2580;-28,21020508
-0,531243121;-0,67090392;-1,249824095;-1,052821796;-0,336346989;1,537980694;1;3000;-28,88964844
-0,028947957;-0,67090392;-0,487736232;0,94982836;-0,336346989;1,537980694;0;2580;-28,13720703
0,636612138;-0,67090392;1,798527356;0,94982836;0,314047741;1,537980694;0;2100;-29,76904297
0,432205113;0,99446042;-0,487736232;0,94982836;0,964442471;-0,65020322;1;2400;-30,31713867
1,804955084;0,16177825;-1,249824095;-1,052821796;-0,336346989;-0,65020322;1;2580;-33,28515625
1,546364461;-0,67090392;1,798527356;0,94982836;0,314047741;-0,65020322;1;2160;-27,66601563
-1,162078135;-0,67090392;-0,487736232;0,94982836;-0,336346989;-0,65020322;1;3120;-32,88696289
-0,247222522;-0,67090392;-0,487736232;-1,052821796;-0,336346989;-0,65020322;1;2580;-39,5546875
1,220232479;-0,67090392;0,274351631;-1,052821796;-0,336346989;-0,65020322;1;1980;-30,0859375
-0,48977019;-0,67090392;-0,487736232;0,94982836;-0,336346989;1,537980694;1;2160;-27,86279297
-2,082732232;-0,67090392;0,274351631;0,94982836;-0,336346989;-0,65020322;0;360;-30,08935547
0,581150513;0,99446042;0,274351631;-1,052821796;-0,336346989;1,537980694;0;2460;-27,67871094
-0,236053279;-0,67090392;-0,487736232;0,94982836;-0,336346989;-0,65020322;1;1860;-28,65014648
-0,144799112;0,99446042;1,798527356;0,94982836;-0,336346989;-0,65020322;0;2640;-27,05883789
-1,378506262;-0,67090392;-0,487736232;0,94982836;-0,336346989;1,537980694;0;0;-29,04516602
-1,178927831;0,99446042;-0,487736232;0,94982836;0,964442471;1,537980694;1;2700;-31,97509766
-1,674447526;-0,67090392;0,274351631;-1,052821796;-0,336346989;1,537980694;1;2400;-28,3737793
0,511644079;-0,67090392;-0,487736232;0,94982836;-0,336346989;-0,65020322;0;2580;-29,42260742
1,402311301;-0,67090392;-1,249824095;0,94982836;-0,336346989;1,537980694;1;1680;-35,9230957
-1,435754665;-0,67090392;0,274351631;0,94982836;-0,336346989;-0,65020322;0;1620;-28,98364258
1,177819549;-0,67090392;-1,249824095;-1,052821796;-0,336346989;-0,65020322;1;2580;-35,36303711
1,608023553;0,16177825;1,798527356;-1,052821796;0,314047741;-0,65020322;0;2520;-30,0637207
-1,363350081;0,99446042;-0,487736232;-1,052821796;4,216416122;-0,65020322;1;2520;-31,3659668
0,438906791;0,99446042;-0,487736232;-1,052821796;0,964442471;1,537980694;1;2520;-27,12036133
0,084360046;-0,67090392;1,798527356;0,94982836;-0,336346989;-0,65020322;1;2580;-30,39599609
