ln_income;mother_edu;caste_religion_group;elec;dist_school_km;poor;A_t;Y_t;predicted_ite
-0,827492328;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2340;59,53491211
-0,26226438;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;3000;61,43774414
-0,242575579;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;1;2580;61,7109375
-0,362442145;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2580;63,93676758
0,083310272;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;1;2220;61,66918945
-1,890969752;-0,473957328;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2520;62,4609375
1,988715964;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2580;60,84106445
-0,46320285;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2220;61,93408203
-0,354688526;-1,209255612;0,739942401;-0,095491052;-0,378491846;2,627691364;0;2640;60,70068359
-3,736101127;0,996639241;-1,382397789;-0,095491052;-0,378491846;-0,380562198;0;2160;76,88012695
-0,331205426;0,261340956;0,739942401;-0,095491052;0,582573492;-0,380562198;0;2880;61,13012695
-0,302600324;0,261340956;-1,382397789;-0,095491052;-0,378491846;-0,380562198;0;2520;62,75292969
-0,46320285;0,996639241;0,739942401;-0,095491052;-0,138225512;-0,380562198;0;2880;63,64257813
-0,778746937;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2520;63,16015625
-0,162039181;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2580;64,31005859
-0,818364409;-1,209255612;0,739942401;-0,095491052;-0,378491846;2,627691364;1;2580;62,19482422
-0,279006068;0,261340956;-0,851812742;-0,095491052;-0,378491846;-0,380562198;0;2580;62,48364258
-0,195187919;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2580;61,48291016
0,71536743;-1,209255612;0,739942401;-0,095491052;-0,378491846;2,627691364;0;2520;52,2644043
-0,246624755;-1,209255612;-1,382397789;-0,095491052;-0,138225512;-0,380562198;1;2340;62,37109375
-0,030077783;0,261340956;-1,912982837;-0,095491052;-0,378491846;-0,380562198;0;2340;63,54296875
-2,078739862;0,996639241;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2220;67,56323242
1,384108185;1,731937525;-1,912982837;-0,095491052;0,102040823;-0,380562198;1;2880;64,32739258
0,170785765;0,996639241;0,739942401;-0,095491052;2,985236835;-0,380562198;0;1980;61,93457031
0,545379882;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2580;60,91235352
0,121307512;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2580;57,81884766
0,015761949;0,261340956;-1,382397789;-0,095491052;-0,378491846;-0,380562198;0;2520;62,42993164
1,544030105;0,261340956;-1,912982837;-0,095491052;-0,378491846;-0,380562198;0;2580;68,38574219
-1,516219117;0,261340956;-0,851812742;-0,095491052;-0,378491846;2,627691364;1;2880;69,70922852
-0,613893305;-1,209255612;0,739942401;-0,095491052;-0,378491846;2,627691364;0;3000;61,53613281
-0,298325462;0,261340956;0,739942401;-0,095491052;-0,138225512;-0,380562198;0;2580;61,59960938
-0,635647313;-1,209255612;0,739942401;-0,095491052;-0,378491846;2,627691364;0;2280;57,22583008
1,534357747;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;1;2640;59,99389648
0,013513273;-1,209255612;-1,912982837;-0,095491052;-0,378491846;-0,380562198;0;2520;65,82470703
-0,908420389;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2520;62,38525391
-0,90687875;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2160;61,00610352
-0,778746937;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2520;61,09228516
-0,189689048;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2520;61,65698242
0,615721923;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2580;62,02539063
-0,838759663;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2520;62,31494141
0,409706119;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;1;2880;61,88720703
0,127976423;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;1980;64,85083008
0,855285863;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2580;60,59790039
-0,95646894;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2340;62,82910156
-0,314541373;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;1;2580;61,40283203
2,099260502;0,996639241;0,739942401;-0,095491052;1,303372495;-0,380562198;0;2580;61,30444336
-0,280202971;-0,473957328;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2760;60,82885742
0,553940486;-1,209255612;-0,851812742;-0,095491052;-0,378491846;-0,380562198;0;2520;59,80004883
-1,406912348;0,261340956;-1,382397789;-0,095491052;-0,378491846;-0,380562198;1;1800;63,87207031
-1,032652355;-1,209255612;-0,851812742;-0,095491052;-0,378491846;-0,380562198;0;2160;62,22485352
0,900030752;-0,473957328;0,739942401;-0,095491052;0,582573492;-0,380562198;1;2520;60,0144043
1,966718169;1,731937525;0,739942401;-0,095491052;2,985236835;-0,380562198;0;3000;71,15112305
0,069758253;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2280;61,66040039
-0,590968623;1,731937525;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;3000;69,13378906
-0,310586735;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2340;61,40576172
0,411604402;1,731937525;-1,912982837;-0,095491052;0,582573492;-0,380562198;1;3240;66,25219727
-0,233379664;-1,209255612;0,209357353;-0,095491052;-0,378491846;2,627691364;0;2580;60,30444336
-0,402110739;-1,209255612;-0,851812742;-0,095491052;-0,378491846;-0,380562198;0;2520;63,34082031
-0,495163829;-1,209255612;-0,851812742;-0,095491052;-0,378491846;-0,380562198;1;2400;60,86279297
0,217626437;0,261340956;-1,912982837;-0,095491052;0,102040823;-0,380562198;0;2520;64,04296875
0,292739112;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;3240;61,16796875
-0,23854226;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2340;64,16723633
1,330878059;0,261340956;-0,851812742;-0,095491052;2,264437832;-0,380562198;0;2640;59,79077148
0,17641281;0,261340956;-0,851812742;-0,095491052;-0,378491846;-0,380562198;1;3240;62,0222168
-0,316772548;0,261340956;-0,851812742;-0,095491052;-0,378491846;2,627691364;0;2580;65,84375
-0,273042327;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;1;2580;58,52612305
2,316928583;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2580;61,453125
0,150884823;-1,209255612;0,739942401;10,47218538;0,102040823;-0,380562198;0;2160;81,70776367
-0,162039181;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2580;64,31005859
-1,041893867;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2760;62,52050781
1,959189144;0,996639241;0,739942401;-0,095491052;4,186568507;-0,380562198;1;3000;62,29077148
1,773570457;0,996639241;0,739942401;-0,095491052;-0,138225512;-0,380562198;0;2880;60,89160156
2,516174226;1,731937525;0,739942401;-0,095491052;7,790563523;-0,380562198;1;2880;74,76782227
-0,507633614;-1,209255612;0,739942401;-0,095491052;-0,138225512;-0,380562198;1;2760;63,03149414
1,773570457;0,996639241;0,739942401;-0,095491052;-0,138225512;-0,380562198;0;2880;61,4621582
-0,040842793;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2340;61,58618164
0,607509952;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2520;62,02001953
-0,534260834;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;1;3000;63,61621094
-0,950711943;0,996639241;-0,851812742;-0,095491052;-0,378491846;-0,380562198;0;2580;64,08447266
0,81885972;-1,209255612;-1,912982837;-0,095491052;0,582573492;-0,380562198;0;2520;63,24121094
-0,46320285;0,996639241;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2880;63,80786133
-0,507036379;-1,209255612;0,739942401;-0,095491052;-0,378491846;2,627691364;0;1800;61,19165039
-0,711063068;-1,209255612;0,739942401;-0,095491052;-0,378491846;-0,380562198;0;2340;63,28662109
0,538804273;0,261340956;-1,382397789;-0,095491052;0,102040823;-0,380562198;0;2520;61,56494141
0,66901511;-1,209255612;0,739942401;-0,095491052;1,303372495;-0,380562198;1;3000;61,42138672
-0,096222817;0,996639241;0,739942401;-0,095491052;5,387900179;-0,380562198;1;2760;66,30273438
0,714911804;0,996639241;-1,912982837;-0,095491052;1,06310616;-0,380562198;0;2880;65,61987305
-0,304437853;-1,209255612;-0,851812742;-0,095491052;-0,378491846;-0,380562198;0;2280;60,66967773
0,469590133;-1,209255612;0,739942401;-0,095491052;1,06310616;-0,380562198;0;2160;61,68310547
-0,920168288;-1,209255612;-1,382397789;-0,095491052;-0,378491846;-0,380562198;0;2160;66,89404297
-1,05578634;0,261340956;0,739942401;10,47218538;0,102040823;2,627691364;0;3000;81,47021484
0,173872884;-1,209255612;-0,851812742;-0,095491052;-0,378491846;-0,380562198;0;2580;62,30688477
0,610439513;0,261340956;0,739942401;-0,095491052;-0,378491846;-0,380562198;1;3360;60,84643555
-0,145672563;0,261340956;-0,851812742;-0,095491052;-0,378491846;-0,380562198;0;2760;62,34863281
0,734882833;0,996639241;-1,912982837;-0,095491052;0,102040823;-0,380562198;1;3000;63,84741211
