ln_income;mother_edu;caste_religion_group;elec;dist_school_km;poor;A_t;Y_t;predicted_ite
-0,106573057;-0,633456634;-1,302762251;1,102356509;-0,350433819;-0,610367938;0;2520;23,18164063
-0,266263261;-0,633456634;-0,572046245;-0,907147544;-0,350433819;1,638356044;0;2520;24,13598633
0,208056082;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;0;2520;23,95629883
2,07745258;1,09191163;-1,302762251;-0,907147544;-0,350433819;-0,610367938;0;2580;34,80322266
0,056927844;1,09191163;-1,302762251;1,102356509;-0,350433819;-0,610367938;0;2580;22,23632813
0,92087886;-0,633456634;0,158669761;-0,907147544;0,607783655;-0,610367938;0;2220;23,54956055
-1,713491004;-0,633456634;1,620101774;1,102356509;-0,350433819;-0,610367938;1;1980;23,00732422
-0,498441567;-0,633456634;-1,302762251;-0,907147544;-0,350433819;-0,610367938;0;2160;27,25097656
-2,580383082;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;1;2580;23,21850586
1,86276917;-0,633456634;1,620101774;-0,907147544;-0,350433819;-0,610367938;0;2520;28,34814453
2,137568878;1,09191163;-0,572046245;-0,907147544;-0,350433819;-0,610367938;0;1260;32,94995117
-0,147858412;-0,633456634;-0,572046245;-0,907147544;-0,350433819;1,638356044;1;2520;24,23022461
-0,139830091;0,229227498;-0,572046245;1,102356509;-0,350433819;-0,610367938;0;420;21,73706055
-0,314833054;-0,633456634;1,620101774;1,102356509;-0,350433819;-0,610367938;0;2940;19,62939453
0,578459382;1,09191163;0,158669761;-0,907147544;-0,350433819;1,638356044;0;2040;24,79907227
0,306220991;-0,633456634;-0,572046245;1,102356509;0,607783655;-0,610367938;1;2640;23,62573242
-0,5593408;1,09191163;-1,302762251;-0,907147544;-0,350433819;-0,610367938;1;2520;19,83276367
-1,631598996;-0,633456634;0,158669761;1,102356509;-0,350433819;1,638356044;0;2460;21,39331055
-0,356078985;-0,633456634;-0,572046245;1,102356509;-0,350433819;1,638356044;1;2160;24,10839844
0,724165925;0,229227498;-0,572046245;-0,907147544;-0,350433819;-0,610367938;0;2580;24,69604492
-0,590948176;-0,633456634;1,620101774;1,102356509;-0,350433819;-0,610367938;0;2580;19,9206543
-0,27107673;-0,633456634;1,620101774;1,102356509;-0,350433819;-0,610367938;0;2160;19,64233398
-0,116515095;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;0;2040;22,29174805
1,86276917;-0,633456634;1,620101774;-0,907147544;-0,350433819;-0,610367938;0;2520;24,45751953
0,419855864;1,09191163;-1,302762251;-0,907147544;1,566001129;-0,610367938;1;2160;20,10180664
-0,222727054;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;0;3000;22,33154297
0,683022968;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;1;3000;24,66381836
2,165111595;1,954595761;-0,572046245;-0,907147544;-0,350433819;-0,610367938;0;3000;32,46264648
1,034999312;-0,633456634;1,620101774;1,102356509;0,607783655;-0,610367938;0;2400;24,17749023
0,133475725;-0,633456634;1,620101774;1,102356509;-0,350433819;-0,610367938;1;2160;20,45678711
-0,51477391;1,09191163;-0,572046245;1,102356509;-0,350433819;-0,610367938;1;2520;20,07861328
1,923947859;-0,633456634;1,620101774;-0,907147544;3,482436078;-0,610367938;0;2580;24,91162109
-0,098090923;-0,633456634;1,620101774;1,102356509;-0,350433819;1,638356044;0;2160;22,65649414
0,541838057;-0,633456634;1,620101774;-0,907147544;-0,350433819;-0,610367938;0;3420;22,38769531
0,319100364;-0,633456634;0,158669761;-0,907147544;0,607783655;-0,610367938;0;2520;23,09765625
-0,532039309;-0,633456634;0,158669761;1,102356509;-0,350433819;-0,610367938;0;900;21,5012207
0,30818231;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;1;2640;24,26269531
1,508712554;0,229227498;1,620101774;-0,907147544;0,607783655;-0,610367938;0;2520;19,11572266
0,077889795;-0,633456634;0,158669761;1,102356509;-0,350433819;1,638356044;1;2880;27,04711914
0,538170048;-0,633456634;0,158669761;-0,907147544;-0,350433819;-0,610367938;1;2160;25,03173828
-0,253399401;-0,633456634;0,158669761;1,102356509;-0,350433819;1,638356044;0;2400;22,84033203
-0,079863491;-0,633456634;-1,302762251;-0,907147544;-0,350433819;-0,610367938;0;2520;27,42260742
-2,687862589;-0,633456634;0,158669761;1,102356509;-0,350433819;-0,610367938;1;2040;22,87719727
0,372241859;-0,633456634;0,158669761;1,102356509;-0,350433819;-0,610367938;0;2580;24,26977539
1,226928798;-0,633456634;0,158669761;-0,907147544;-0,350433819;-0,610367938;0;1920;27,5847168
0,832941719;-0,633456634;-0,572046245;-0,907147544;-0,350433819;-0,610367938;0;2580;26,47509766
0,534108081;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;0;2220;24,95458984
0,102253145;2,817279893;-1,302762251;-0,907147544;1,566001129;-0,610367938;1;3000;15,33337402
-0,222086546;-0,633456634;1,620101774;-0,907147544;-0,350433819;1,638356044;0;1620;17,94885254
0,21499931;0,229227498;1,620101774;1,102356509;-0,350433819;-0,610367938;1;2580;21,51220703
2,304550341;2,817279893;1,620101774;-0,907147544;-0,350433819;-0,610367938;0;2520;35,60400391
0,87928418;1,09191163;-1,302762251;-0,907147544;-0,350433819;-0,610367938;1;2520;27,95361328
-0,800483753;-0,633456634;-0,572046245;1,102356509;-0,350433819;1,638356044;0;2580;22,71630859
0,32829472;-0,633456634;-0,572046245;-0,907147544;-0,350433819;-0,610367938;0;2220;24,16015625
0,555888354;1,09191163;-0,572046245;-0,907147544;-0,350433819;-0,610367938;1;2580;24,45385742
-0,122104192;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;1;2580;22,94482422
-1,506438744;0,229227498;0,158669761;-0,907147544;-0,350433819;1,638356044;0;2400;20,3762207
-0,400774423;-0,633456634;1,620101774;-0,907147544;-0,350433819;-0,610367938;0;2520;22,0090332
-1,182562675;-0,633456634;0,158669761;1,102356509;-0,350433819;-0,610367938;0;2520;21,74584961
-0,274297668;1,09191163;0,889385768;1,102356509;-0,350433819;-0,610367938;0;1980;23,96655273
-0,975101689;1,09191163;-0,572046245;1,102356509;-0,350433819;-0,610367938;0;2700;19,73046875
