target_file,rep,source_tag,source_file,source_n,target_n,slice,level,assignment,delta,rho,m_gamma,m_omega,dgamma_norm,domega_norm,KL,true_ite_sd,true_ite_mean,pehe_tl,bias_tl,pehe_target,bias_target,pehe_source,bias_source,cita
target_n100_prognostic_L1.00_randomized.csv,70,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.7799190212709624,1.4443367573171364,0.19650931821716625,0.02579094444220198,5.210010639306133,0.33264936481421126,0.22580940116987808,0.2297665027231468,0.2809541164075307
target_n100_prognostic_L1.00_randomized.csv,71,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.5304092138985912,1.5388246354302308,0.3346757284131066,0.15429453285132433,2.427171207825863,-0.2507799443444154,0.17011678100498226,0.12480477722083116,0.2954744432893826
target_n100_prognostic_L1.00_randomized.csv,72,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.5965503379540165,1.509703690293398,0.28995372803065106,-0.2326775138407613,1.8073059472919097,0.14180571388903607,0.25168499359025565,0.17963713955584515,0.284860012373005
target_n100_prognostic_L1.00_randomized.csv,73,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.7080058101533895,1.790050652523114,0.1800667732857998,0.1528669328498109,2.3579863608279545,-0.1031682758522765,0.1968326977619693,0.12384078214638072,0.2739469288880792
target_n100_prognostic_L1.00_randomized.csv,74,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.6992041232298087,1.4907208559533196,0.44158719083741454,-0.14512418484888845,3.205401720199311,0.8752428414801521,0.3295221281227109,0.14153755926884837,0.23882676081407295
target_n100_prognostic_L1.00_randomized.csv,75,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.5080021407683488,1.721719426424687,0.32832963032805734,0.4215472514317584,1.9761721879452612,-0.04486231258649109,0.17594076261645195,0.08603246757250549,0.2600827441438449
target_n100_prognostic_L1.00_randomized.csv,76,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.2642809841845586,1.779677258638423,0.28627253251157814,0.3594309223613328,1.8575477994799154,0.636378420682866,0.16345797599246928,0.07210315594287575,0.23417383303216727
target_n100_prognostic_L1.00_randomized.csv,77,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.6089971651431219,1.7301297121481785,0.2612621963247355,0.012115961985122325,2.5834832062838684,-0.23377441696690404,0.2540441556260209,0.1282218761010281,0.20949731684437242
target_n100_prognostic_L1.00_randomized.csv,78,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.8184228948059258,1.732913532465925,0.3341034182436637,0.07410403230763452,3.8405529662337163,0.8681659314928152,0.34394950190173385,0.21657618024922387,0.23863522446101518
target_n100_prognostic_L1.00_randomized.csv,79,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.7729028441323231,1.3849077880295335,0.250024794610675,0.06783621908106219,2.8293852014927214,-0.30383557676396955,0.2704409750963024,0.22875981927790057,0.2826175892979829
target_n100_prognostic_L1.00_randomized.csv,80,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.2847478362831208,1.4542154632155615,0.21561151879477516,-0.18158703666374265,1.9373308111551315,-0.5944500527922827,0.19943597626897014,0.17129117626502932,0.2413201262251289
target_n100_prognostic_L1.00_randomized.csv,81,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.2752718298036574,1.706732690888299,0.4698171856566583,0.471252738875495,0.981410235154213,0.584634839934455,0.24613077198263458,0.11437207405005556,0.28182103493455124
target_n100_prognostic_L1.00_randomized.csv,82,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.3384132342603503,1.5869451197928348,0.16542621863026544,0.1675745812111935,1.4496669540382592,-0.0547009143179813,0.1466131910940389,0.09362190634547085,0.23818145041652264
target_n100_prognostic_L1.00_randomized.csv,83,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.676740695491251,1.6539736258734046,0.4308169916397433,-0.41581206200011356,1.9575985524128143,-0.3130087125051795,0.15728967057811372,0.1666249764215173,0.2813493695528658
target_n100_prognostic_L1.00_randomized.csv,84,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.62556691480001,1.7768473145198098,0.31893485206612654,0.3301840308476218,1.4998622427264892,0.04709010155685034,0.24143246224097634,0.18185787232406225,0.29158003234012747
target_n100_prognostic_L1.00_randomized.csv,85,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.478536720757685,1.4616212434458533,0.29118323108593436,0.035632055313607136,1.6095923108520722,0.3383573704076013,0.23756663032013375,0.18795685103656856,0.2673280402839586
target_n100_prognostic_L1.00_randomized.csv,86,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.2774402001277756,1.7759554626677834,0.23498596588721057,-0.20734205267175065,1.8915444728919246,-0.17279639265282976,0.17448015299928504,0.1594052074219383,0.2325324240169105
target_n100_prognostic_L1.00_randomized.csv,87,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4483722403210824,1.5378602508676218,0.2912138158587149,0.26987209280608426,1.5975462483881009,-0.43973109761597384,0.1616683231149652,0.1030386920797659,0.24486393861504616
target_n100_prognostic_L1.00_randomized.csv,88,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.6003179407010686,1.7383162914679071,0.22779771892132714,0.22043097625517638,1.21915201059983,0.32979560504698546,0.21986659927972052,0.21440745006346495,0.30360258946525404
target_n100_prognostic_L1.00_randomized.csv,89,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4510838107315398,1.6200670022919403,0.2956766892795001,0.355857728008963,1.3085838868143076,0.3921140413329376,0.17413519821841572,0.09633695888970029,0.26169568296293255
target_n100_prognostic_L1.00_randomized.csv,90,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.5355719110938466,1.6857933763557031,0.26979571257782936,0.21671965083545897,1.2618329967412851,-0.09425637760692385,0.2572171336584038,0.22703697642749998,0.24673711315026434
target_n100_prognostic_L1.00_randomized.csv,91,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.9652021295326296,1.5080521989430267,0.2289288681032169,0.13508561367141425,3.258890828636172,-0.3289103198613006,0.2588394164762221,0.17726722473251044,0.31565724141552165
target_n100_prognostic_L1.00_randomized.csv,92,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4393326057359617,1.5877647124050918,0.3124368426931226,-0.20731136424530172,2.4838452162251072,-0.24968657119262838,0.17378417285483638,0.12243929283630228,0.24770025293243528
target_n100_prognostic_L1.00_randomized.csv,93,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.3891709632574727,1.7634306471102956,0.20942503261170384,0.08644718720977274,2.9445236794379093,0.15084452226226297,0.2562014932958471,0.11797053411071268,0.19346648905873856
target_n100_prognostic_L1.00_randomized.csv,94,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4759904886488189,1.818299218468886,0.21258671892988246,-0.02318017130396899,1.570350953124739,0.2706716811130232,0.20621122697597014,0.1895116126010603,0.23063505719064706
target_n100_prognostic_L1.00_randomized.csv,95,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.5646707016260522,1.8591778934727399,0.23251539065438975,-0.03075165159804505,1.242201965363824,0.5289840041865619,0.2578656625580645,0.18459313504593688,0.259791130098998
target_n100_prognostic_L1.00_randomized.csv,96,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4225881545121046,1.392001809842675,0.47193615155560464,0.4315527059959481,2.7620866559300667,0.40881544136276937,0.19051646092536242,0.15633266948929525,0.24986322919801437
target_n100_prognostic_L1.00_randomized.csv,97,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4499636132319793,1.4960343447322828,0.3075010170027225,0.3832106980686205,1.3598005958004933,0.5291617307071703,0.16987895996506996,0.14072624772834952,0.23878962944053483
target_n100_prognostic_L1.00_randomized.csv,98,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4265832818680213,1.5913800229128532,0.36687405033681036,0.13754282102025228,1.609134643044803,0.05474410161412435,0.25248095125798814,0.12882623776829916,0.29085763535665077
target_n100_prognostic_L1.00_randomized.csv,99,source_n5000,source_n5000.csv,5000,100,prognostic,1.0,randomized,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4104877612396969,1.8041305012506355,0.31697698868512064,-0.14896149108828194,1.8771797477675767,0.7863913111883294,0.2415100187577257,0.1760545306402337,0.2357807237784936
target_n500_covshift_L0.00_biased.csv,0,source_n5000,source_n5000.csv,5000,500,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3857440107292833,1.4967660138898318,0.3622083562822246,0.37364585897393776,1.519424633040951,0.619491415233093,0.2333002840357356,0.17223616144128395,0.2251028618551071
target_n500_covshift_L0.00_biased.csv,1,source_n5000,source_n5000.csv,5000,500,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6374355871147908,1.607006270524822,0.29130277572681995,0.2534939459592478,1.1920383672163737,0.28338043010536595,0.22125043207606876,0.14625982559029027,0.227910200214145
target_n500_covshift_L0.00_biased.csv,2,source_n5000,source_n5000.csv,5000,500,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6412095490581229,1.6215981931654384,0.2193778981756817,0.15218549061141706,1.041299829533862,0.1403365640672276,0.22938416519876131,0.14923541832290388,0.19965647025898803
