target_file,rep,source_tag,source_file,source_n,target_n,slice,level,assignment,delta,rho,m_gamma,m_omega,dgamma_norm,domega_norm,KL,true_ite_sd,true_ite_mean,pehe_tl,bias_tl,pehe_target,bias_target,pehe_source,bias_source,cita
target_n50_prognostic_L0.75_biased.csv,40,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.6845282623942057,1.66460109554081,0.4380973909367479,0.18781983055324525,5.868481628736111,1.338471404688072,0.46134866367651306,-0.03307808242588073,0.23039174343419366
target_n50_prognostic_L0.75_biased.csv,41,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.3740598459236415,1.6602070183699271,0.6856840570126121,0.18393708754132776,3.498188682863577,1.1172356753404,0.6666739660784683,-0.024942383283867553,0.3181753681000778
target_n50_prognostic_L0.75_biased.csv,42,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.2533526019924295,1.4926449862988063,0.7129492077525502,0.1376983316867284,4.000752020984954,1.4691238792865209,0.7424069139850942,0.0902345570056371,0.2654545075005281
target_n50_prognostic_L0.75_biased.csv,43,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.895949247127634,1.6595037256602065,1.4694440938359967,0.5484447206135972,8.410845531318413,0.028628560411570803,1.3178078462257576,-0.02897694457805322,0.3033571262195266
target_n50_prognostic_L0.75_biased.csv,44,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.5930391478665742,1.4506852210867276,0.4521476314811331,-0.1418182433950772,7.376351981373815,1.7233794151437412,0.3362089947717011,0.04882363664032319,0.2832401193239131
target_n50_prognostic_L0.75_biased.csv,45,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.606422246343301,1.6558752755846902,0.5772676356102976,0.24479489519930642,3.5107232434404834,-0.6840456824030801,0.5743969008642572,-0.15517825886868675,0.2220181340125948
target_n50_prognostic_L0.75_biased.csv,46,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.5690947606899805,1.7949284360133542,0.48595297346460875,0.1429613783634769,11.720590855293748,-2.3029373929225336,0.540181781843242,0.08084046390424837,0.306064766208412
target_n50_prognostic_L0.75_biased.csv,47,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.5031974810658826,1.4415154577963407,1.1558845390179366,0.48194848282408165,9.535341610655989,-0.1890035988562162,0.9283592138497727,0.2668912289864962,0.2223576900976228
target_n50_prognostic_L0.75_biased.csv,48,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.3234317254174395,2.097484301109622,0.8285370116757014,0.3064945235058567,5.275140893787434,1.1593955054089329,0.8019630847960353,-0.06982869960815696,0.28923163101452476
target_n50_prognostic_L0.75_biased.csv,49,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.6433792304470658,1.6612060526507935,0.862720958343727,0.539102985511438,5.26026214462546,1.6426803609234253,0.6552970536125909,-0.13740722929416505,0.23829113758977225
target_n50_prognostic_L0.75_biased.csv,50,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.3561733217261702,1.858647371741983,0.7801850221570112,0.2372705683977876,7.699210080097884,-1.343473221275064,0.9139413359841012,0.08474836209133008,0.20564890918026696
target_n50_prognostic_L0.75_biased.csv,51,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.49320440241779,1.6618387156853425,0.7818245705738491,0.4346259182563079,10.346536064402542,-1.6360077650973546,0.5769113283103722,-0.1332010680565583,0.249552269749701
target_n50_prognostic_L0.75_biased.csv,52,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.5082077271046026,1.5391079564912993,1.3559381431212685,0.4466266254560274,2.640048106682164,0.1119432071821016,1.0427952131099552,0.12683065930765092,0.23167954039044403
target_n50_prognostic_L0.75_biased.csv,53,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.5103951447749437,1.5001029427579597,0.8076594498928216,0.28498285455191574,4.216905932124925,1.3956268374391838,0.7592037734953639,-0.15890485601937332,0.21914559447891055
target_n50_prognostic_L0.75_biased.csv,54,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,2.1584890987092895,2.145038944249007,0.8685741114883523,0.13960327529445005,5.4512270787708,1.0418025436355145,0.7956011799717512,0.0077210845901043434,0.2405948421825292
target_n50_prognostic_L0.75_biased.csv,55,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.3918084944166733,1.8439217262338334,0.37745655830355546,0.3147737331320113,5.4717330094848595,2.0361158199240035,0.3655182742938645,-0.11217612553345502,0.2652913359765182
target_n50_prognostic_L0.75_biased.csv,56,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.459774506911348,1.205932603905877,0.6495568270026623,-0.010284529755791638,4.4204466413074375,1.0000615252750311,0.685470072960533,-0.02655206782647035,0.20251927387066626
target_n50_prognostic_L0.75_biased.csv,57,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.355649318116649,1.707165203913812,0.5331293332590122,0.33669666208350235,3.222897295687671,1.4051626101883608,0.5188485583403889,0.05800870813452774,0.2989734535793328
target_n50_prognostic_L0.75_biased.csv,58,source_n1000,source_n1000.csv,1000,50,prognostic,0.75,biased,0.0,0.0,0.75,0.0,0.75,0.0,0.0,1.7542223576242841,1.3529354719446658,0.8435374051589227,0.453421792574072,5.762504435843278,-0.22811261694893825,0.5716251978542918,0.06539996582999241,0.2634886520454345
