target_file,rep,source_tag,source_file,source_n,target_n,slice,level,assignment,delta,rho,m_gamma,m_omega,dgamma_norm,domega_norm,KL,true_ite_sd,true_ite_mean,pehe_tl,bias_tl,pehe_target,bias_target,pehe_source,bias_source,cita
target_n100_covshift_L0.50_randomized.csv,40,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.5506416016246147,3.326332529661552,0.36138970542451754,0.06125382554779879,1.7006791206506333,0.011361161592110314,0.3849144703385864,-0.027130802748099647,0.3713389391963859
target_n100_covshift_L0.50_randomized.csv,41,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.6277930381349184,3.1414141398732345,0.7615559185964693,-0.10022303879901573,1.4229455416422527,0.1492333668406327,0.5990026240803128,-0.019571993953434674,0.3550531019038369
target_n100_covshift_L0.50_randomized.csv,42,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.408440872644798,3.4640814221995027,0.2144359853660711,0.05177484382222586,1.288524996409073,0.31338535178731375,0.2591275209613755,0.047419651637777616,0.3900740141496
target_n100_covshift_L0.50_randomized.csv,43,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.188267062436986,3.2581185958365237,0.16993178369956607,-0.023636784313086245,1.8464751766877656,-0.4540156981924808,0.15375212643396816,0.08243659520351532,0.33078138512256494
target_n100_covshift_L0.50_randomized.csv,44,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.608374649753981,3.3857614267560154,0.299183819611283,-0.04408328420840801,1.8678879211357053,0.49321873300350605,0.28287549792188554,0.11159975641048847,0.4004851708156096
target_n100_covshift_L0.50_randomized.csv,45,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.070560437452353,3.2939227451721003,0.3615103191462767,0.38185850482789974,2.336787122663617,0.7436138759216497,0.22964022488427052,0.07811919551698665,0.3456081406665153
target_n100_covshift_L0.50_randomized.csv,46,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.0163317445599973,3.198935204749936,0.23172553550859984,-0.04961078763567839,0.996564313898107,0.2843850314561185,0.22417516249471042,0.0793402850571927,0.4794306013487592
target_n100_covshift_L0.50_randomized.csv,47,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,1.9440188394573774,3.0161846731706583,0.29370839661117865,-0.09651361451587315,1.3131377711186747,-0.4045930956407511,0.3081400558703147,0.043048038621333884,0.32580247254085176
target_n100_covshift_L0.50_randomized.csv,48,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.5037736460906292,3.509888351382825,0.34897255677043526,0.2727661724666621,1.431699934273233,-0.00500434678992967,0.5225589910908489,0.015583812771227556,0.36600125156672375
target_n100_covshift_L0.50_randomized.csv,49,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.4745825736858404,3.7148803836157276,0.34858402646287573,0.09967287718749507,1.5968892576702682,-0.024810231333012744,0.34120330395902754,0.026959740514521435,0.3603813064925841
target_n100_covshift_L0.50_randomized.csv,50,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,1.8031832245355073,3.3693254525989618,0.1715905068848306,0.13483066007193667,1.68683855053565,0.7163879339366828,0.1681381166231029,0.08453721448477847,0.30411836152390614
target_n100_covshift_L0.50_randomized.csv,51,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.3146908791314433,3.125365059978687,0.2242535423519805,-0.10549120248051791,1.464910947226587,-0.09583310425969271,0.15734784225222959,0.0524084156682858,0.3595711176236592
target_n100_covshift_L0.50_randomized.csv,52,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.971480790374706,3.685246538399221,0.6314256928555478,0.1021079309000954,12.903161239798491,2.242722917319773,0.508572236579689,0.03331558776044696,0.3241728014229053
target_n100_covshift_L0.50_randomized.csv,53,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.365125972649647,3.440450945913026,0.2530139862110313,-0.03758505922479349,3.9592278270808436,-0.3352702055565806,0.1741780452716317,-0.018653431951233923,0.3040081685884744
target_n100_covshift_L0.50_randomized.csv,54,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.2210109672236533,2.9920394454241728,0.17622530338434994,0.017386909937765704,1.2069279131563928,0.13438534400453817,0.2320086930717416,0.20242619178285848,0.39070191789871533
target_n100_covshift_L0.50_randomized.csv,55,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.7684365505501547,3.3218797362108945,0.5073345932494987,-0.135526529576373,2.7004379998444112,-0.5948475516100644,0.45152735223470175,0.03055013057987699,0.3723323825626362
target_n100_covshift_L0.50_randomized.csv,56,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.6491477675392803,3.285455868078043,0.31732425374154266,-0.020100042653848682,1.070059555817078,-0.32403342468815044,0.37199496091545275,0.11568815963191792,0.5141440523346353
target_n100_covshift_L0.50_randomized.csv,57,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.7516427251890536,3.0592989996579347,0.3582860403551358,0.21780966962307113,2.035594459004656,0.5337607785555663,0.3108604436948237,0.027191154608422696,0.34337170244398174
target_n100_covshift_L0.50_randomized.csv,58,source_n5000,source_n5000.csv,5000,100,covshift,0.5,randomized,0.5,0.3,0.0,0.0,0.0,0.0,0.9441212076953298,2.354601257083027,3.2682534621496457,0.43205756352114216,0.32354317443177516,1.8500863893870665,-0.03150095207884496,0.40864726687665803,0.12304602401063258,0.3277946487028404
