target_file,rep,source_tag,source_file,source_n,target_n,slice,level,assignment,delta,rho,m_gamma,m_omega,dgamma_norm,domega_norm,KL,true_ite_sd,true_ite_mean,pehe_tl,bias_tl,pehe_target,bias_target,pehe_source,bias_source,cita
target_n500_effect_L0.00_biased.csv,50,source_n5000,source_n5000.csv,5000,500,effect,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625333554530197,1.598248657899432,0.22223991872786986,0.10035139588779951,2.0756386797372697,0.45378166703648115,0.24947915569189616,0.14139479665226484,0.22656771772195175
target_n500_effect_L0.00_biased.csv,51,source_n5000,source_n5000.csv,5000,500,effect,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.612827357794632,1.6475082186606138,0.3786948904840329,0.3473524304482729,1.7497973149123731,0.6558515282723696,0.25868509699407527,0.16570048056576558,0.25650789059999934
target_n500_effect_L0.00_biased.csv,52,source_n5000,source_n5000.csv,5000,500,effect,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.450678492024634,1.5949237462750265,0.2790895019845449,0.20463489325134065,1.251369527687441,0.2354476335772684,0.20311532371695665,0.12349175245849398,0.24749198428051872
target_n500_effect_L0.00_biased.csv,53,source_n5000,source_n5000.csv,5000,500,effect,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.591121128634756,1.6033996360483616,0.3615463331238731,0.1809179765996487,1.4061859435109034,0.13880133460135768,0.27022021575810606,0.11074137518973659,0.2457133240530862
target_n500_effect_L0.00_biased.csv,54,source_n5000,source_n5000.csv,5000,500,effect,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.644179543113054,1.7066778961795348,0.3543146145202975,0.31043769677700817,1.5529212051893073,0.3942012961727601,0.2591955981150107,0.17550517877163707,0.23025830651180818
target_n500_effect_L0.00_biased.csv,55,source_n5000,source_n5000.csv,5000,500,effect,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.455803831726168,1.609471454540172,0.219054998367523,0.13125000961693245,1.4204133517716184,0.397280082782826,0.22763627204781522,0.17390357025536018,0.2170922843131568
target_n500_effect_L0.00_biased.csv,56,source_n5000,source_n5000.csv,5000,500,effect,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5279584099467758,1.4427593689756035,0.3532442602403751,0.3040023106737495,1.522494289907737,0.21915104572013622,0.2793449674620565,0.17521574680045848,0.20654566767603325
target_n500_effect_L0.00_biased.csv,57,source_n5000,source_n5000.csv,5000,500,effect,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4420721204869955,1.599481716957212,0.3597379674878665,0.3364926425551171,1.4493755258002397,0.5345536319349999,0.1943080574015105,0.1559545842741723,0.23076828337879
target_n500_effect_L0.00_biased.csv,58,source_n5000,source_n5000.csv,5000,500,effect,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5353640516549387,1.6595745000890638,0.31162814517178355,0.09363640212498647,1.483052932478323,0.5098130788751696,0.2425300748517973,0.1368625249811266,0.18178810309855195
target_n500_effect_L0.00_biased.csv,59,source_n5000,source_n5000.csv,5000,500,effect,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6004765815774418,1.4900676245081532,0.37395016884530985,0.3848126893651378,1.4110823597453894,0.6436136727940929,0.2575132802734531,0.14286313110708115,0.17957235897863724
