target_file,rep,source_tag,source_file,source_n,target_n,slice,level,assignment,delta,rho,m_gamma,m_omega,dgamma_norm,domega_norm,KL,true_ite_sd,true_ite_mean,pehe_tl,bias_tl,pehe_target,bias_target,pehe_source,bias_source,cita
target_n100_effect_L1.00_biased.csv,0,source_n5000,source_n5000.csv,5000,100,effect,1.0,biased,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.924787154881028,1.6408219527250174,0.7619439870963758,0.03549347410145964,4.604059116611116,1.6627192307466623,1.122123868004366,0.1386221457475778,0.25099687405583615
target_n100_effect_L1.00_biased.csv,1,source_n5000,source_n5000.csv,5000,100,effect,1.0,biased,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.3809617506401746,1.668410749260123,1.386861794215523,-0.02978536588304781,5.408264596830642,1.3907058526838467,1.6567815174935072,-0.030876846138174763,0.2966447769788331
target_n100_effect_L1.00_biased.csv,2,source_n5000,source_n5000.csv,5000,100,effect,1.0,biased,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.9868058762959222,1.5510419662623551,1.3735930520154704,0.5010980312199447,13.60338882295923,1.3197497073979232,1.5303224598339396,0.19336127680252524,0.28397671979533795
target_n100_effect_L1.00_biased.csv,3,source_n5000,source_n5000.csv,5000,100,effect,1.0,biased,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.8505352220606344,1.6453354802675704,0.8375018629365593,0.11691947311682904,5.184937758824658,1.5634274038724443,1.3131093658362465,-0.05352930694298541,0.23382344520707193
target_n100_effect_L1.00_biased.csv,4,source_n5000,source_n5000.csv,5000,100,effect,1.0,biased,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.147511696178847,1.5906636844820758,1.3488594159433682,0.09854160440494808,2.8476067042721125,0.8584382404141644,1.7589721276350323,0.0723453630261639,0.3332178101412827
target_n100_effect_L1.00_biased.csv,5,source_n5000,source_n5000.csv,5000,100,effect,1.0,biased,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.8687432692082466,1.5817712019523815,1.4554541064060091,0.043263487950877755,2.9502247753018156,0.7374905873695179,1.479201614253769,0.06496732725294074,0.2722512768787889
target_n100_effect_L1.00_biased.csv,6,source_n5000,source_n5000.csv,5000,100,effect,1.0,biased,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.059578381425261,1.5984113359216354,0.9170306179570354,0.11258386137450715,4.097550399900789,0.9248034811254837,1.1686649650773784,0.28938792707885286,0.2875998525541527
target_n100_effect_L1.00_biased.csv,7,source_n5000,source_n5000.csv,5000,100,effect,1.0,biased,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.7565871378002338,1.6864334830385384,0.8768932773367111,0.28514928730905686,4.907050682140528,1.0570100060361687,1.090877622514257,0.11680991562784349,0.31068852837114813
target_n100_effect_L1.00_biased.csv,8,source_n5000,source_n5000.csv,5000,100,effect,1.0,biased,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.7152973905327449,1.6831636806807182,1.2020396244412352,0.6527175525346138,3.982301364416675,1.4158072093644478,1.0597667313459254,0.07247181927350543,0.3127317443666835
target_n100_effect_L1.00_biased.csv,9,source_n5000,source_n5000.csv,5000,100,effect,1.0,biased,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0841942727484355,1.1553411063711387,0.967447172288381,0.24320630459382708,3.440321327718642,1.0356400433023232,1.3439717616538027,0.37015466122224505,0.25157337972319244
target_n100_effect_L1.00_biased.csv,10,source_n5000,source_n5000.csv,5000,100,effect,1.0,biased,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.1811286048102954,1.6146025777856436,0.9869912879218836,-0.07668281803527743,7.049842086904743,1.0613312601049814,1.4249243425135019,0.2393150209387216,0.2725798747832041
